Date,AQI
2018-04-25,33.4
2018-04-26,44.6
2018-04-27,33.4
2018-04-28,43.0
2018-04-29,29.0
2018-04-30,30.0
2018-05-01,67.0
2018-05-02,81.2
2018-05-03,65.2
2018-05-04,51.6
2018-05-05,53.0
2018-05-06,38.4
2018-05-07,42.0
2018-05-08,45.4
2018-05-09,41.2
2018-05-10,31.2
2018-05-11,35.2
2018-05-12,35.0
2018-05-13,26.4
2018-05-14,40.2
2018-05-15,51.4
2018-05-16,30.2
2018-05-17,52.0
2018-05-18,30.0
2018-05-19,24.4
2018-05-20,31.0
2018-05-21,39.2
2018-05-22,34.4
2018-05-23,36.6
2018-05-24,68.0
2018-05-25,77.2
2018-05-26,72.4
2018-05-27,35.8
2018-05-28,19.4
2018-05-29,78.0
2018-05-30,28.4
2018-05-31,28.6
2018-06-01,44.2
2018-06-02,44.2
2018-06-03,20.4
2018-06-04,29.4
2018-06-05,34.8
2018-06-06,24.2
2018-06-07,25.8
2018-06-08,44.6
2018-06-09,57.4
2018-06-10,34.8
2018-06-11,32.4
2018-06-12,31.8
2018-06-13,36.8
2018-06-14,35.4
2018-06-15,27.4
2018-06-16,41.8
2018-06-17,86.8
2018-06-18,90.2
2018-06-19,39.6
2018-06-20,38.2
2018-06-21,58.2
2018-06-22,36.4
2018-06-23,26.8
2018-06-24,38.0
2018-06-25,30.0
2018-06-26,28.0
2018-06-27,27.8
2018-06-28,38.2
2018-06-29,51.0
2018-06-30,93.8
2018-07-01,111.8
2018-07-02,123.6
2018-07-03,63.2
2018-07-04,67.2
2018-07-05,21.0
2018-07-06,22.6
2018-07-07,33.6
2018-07-08,41.6
2018-07-09,81.0
2018-07-10,115.4
2018-07-11,48.4
2018-07-12,51.0
2018-07-13,55.8
2018-07-14,61.2
2018-07-15,42.6
2018-07-16,92.8
2018-07-17,44.8
2018-07-18,26.8
2018-07-19,47.2
2018-07-20,40.4
2018-07-21,28.0
2018-07-22,29.2
2018-07-23,30.8
2018-07-24,21.4
2018-07-25,26.4
2018-07-26,39.2
2018-07-27,45.0
2018-07-28,71.2
2018-07-29,30.6
2018-07-30,35.4
2018-07-31,42.4
2018-08-01,31.6
2018-08-02,31.8
2018-08-03,31.0
2018-08-04,26.8
2018-08-05,61.2
2018-08-06,94.4
2018-08-07,58.0
2018-08-08,79.0
2018-08-09,48.2
2018-08-10,63.6
2018-08-11,41.6
2018-08-12,42.2
2018-08-13,25.2
2018-08-14,34.8
2018-08-15,58.0
2018-08-16,82.6
2018-08-17,80.2
2018-08-18,53.0
2018-08-19,21.6
2018-08-20,23.6
2018-08-21,27.0
2018-08-22,35.8
2018-08-23,34.8
2018-08-24,49.2
2018-08-25,39.4
2018-08-26,41.8
2018-08-27,68.0
2018-08-28,86.4
2018-08-29,74.4
2018-08-30,48.6
2018-08-31,24.0
2018-09-01,30.8
2018-09-02,36.2
2018-09-03,46.6
2018-09-04,48.8
2018-09-05,50.8
2018-09-06,58.4
2018-09-07,30.2
2018-09-08,28.4
2018-09-09,17.0
